new;old
Ambtelijk Secretariaat;Ambtelijk secretariaat
Ambtelijk Secretariaat;Ambtelijk sectretariaat
Onderwijsbeleid;Beleidsondersteuning onderwijs - vrijdag 18 maart 2022 (14.00 tot 17.00)
Onderwijsbeleid;Beleidsondersteuning onderwijs - vrijdag 19 november 2021 (14.00 - 17.00)
Bestuurssecretaris;BO - Bestuurssecretaris
Bestuurssecretaris;Bestuurssecretariaat GW
Business Manager van het Descartes Centre;BO - Business Manager Descartes
Business Manager van het Descartes Centre;BO - Business Manager Descartes Centre
Business Manager van het Descartes Centre;BO-Wat doet de Business Manager van het Descartes Centre?
Business Manager van het Descartes Centre;Business Manager Descartes Centre
Career Services;Career Services GW
Career Services;OSZ - Career Officer
Career Services;SO&O - Career Officer
Centre for Digital Humanities;CDH
Centre for Digital Humanities;CDH - DHLab
Centre for Digital Humanities;DH Lab
Centre for Digital Humanities;Digital Humanities
Centre for Digital Humanities;Digital Humanities Lab
Centre for Digital Humanities;ICT & Media
Centre for Digital Humanities;ICT & Media, Digital Humanities Lab
Communicatie & Marketing;C&M - Achter de schermen - Onderwijsmarketing
Communicatie & Marketing;C&M - Communicatie en Marketing
Communicatie & Marketing;Communicatie en Marketing
Coördinatoren Bedrijfsvoering;BO - Coördinatoren Bedrijfsvoering
Coördinatoren Bedrijfsvoering;Coördinator bedrijfsvoering
Cultuurgeschiedenis;Cultuurgeschiedenis (CMI)
Cultuurgeschiedenis;GKG - Cultuurgeschiedenis
Departement Filosofie en Religiewetenschappen;Departement F&R
Departement Filosofie en Religiewetenschappen;Departement FenR
Departement Filosofie en Religiewetenschappen;Dept Filosofie & Religiewetenschappen
Departement Filosofie en Religiewetenschappen;Dept Filosofie en Religie
Departement Filosofie en Religiewetenschappen;Dept. Filosofie & Religiewetenschappen
Departement Filosofie en Religiewetenschappen;F&R
Departement Filosofie en Religiewetenschappen;F&R, LAS
Departement Filosofie en Religiewetenschappen;F&R, Liberal Arts and Sciences
Departement Filosofie en Religiewetenschappen;F&R-GW
Departement Filosofie en Religiewetenschappen;FenR
Departement Filosofie en Religiewetenschappen;FenR, Liberal Arts and Sciences
Departement Filosofie en Religiewetenschappen;Filosofie
Departement Filosofie en Religiewetenschappen;Filosofie en Religie
Departement Filosofie en Religiewetenschappen;Filosofie en Religiewetenschappen/LAS
Departement Filosofie en Religiewetenschappen;GW/FenR
Departement Filosofie en Religiewetenschappen;dept F&R
Economische en Sociale Geschiedenis;ESG
Economische en Sociale Geschiedenis;ESG GW
Educate-it;BO - Educate-it
Educate-it;BO Educate-it
Educate-it;Educate-it GW
Ethische Toetsingscommissie;Ethische Toetsingscommissie gw
Ethische Toetsingscommissie;Facultaire Ethische Toetsingscommissie GW
Examensecretariaat;Examensecretariaat OSZ
Examensecretariaat;OSZ - Examensecretariaat
Examensecretariaat;examensecretariaat GW
Faculteitsdirecteur;DIR - Faculteitsdirecteur Rob Grift
Finance & control;F & C
Finance & control;F&C
Finance & control;F&C & RSO - In vogelvlucht
Finance & control;F&C en RSO - F&C en BIV in vogelvlucht
Finance & control;Finance & Control
Geschiedenis en Kunstgeschiedenis;Departement GKG
Geschiedenis en Kunstgeschiedenis;GKG
Geschiedenis en Kunstgeschiedenis;Geschiedenis en Kunstgeschiedenis (GKG)
Geschiedenis en Kunstgeschiedenis;Geschiedenis en kunstgeschiedenis
Geschiedenis en Kunstgeschiedenis;Kunstgeschiedenis
Hoofd Onderwijsondersteuning en Studentzaken (OSZ);Hoofd Onderwijsondersteuning en Studentzaken
Human Resources;HR
Human Resources;HR - Introductiebijeenkomst
Human Resources;HR GW
International Office;IO
International Office;IO - International Office - Kijkje in de keuken
International Office;IO - International Office - Meet the world
International Office;IO - Kijkje in de keuken
International Office;IO - Meet the World
International Office;International Office - Kijkje in de keuken
International Office;International Office - Meet the world
International Office;International Office - inkomende studenten
International Office;International Office - inkomende studenten eerste collegeweek februari
International Office;International Office - uitgaande studenten
International Office;International Office GW
International Office;International Office: meet the world
International Office;International Office: meet the world - februari 2021
International Office;International Office: pre-departure meeting
International Office;OSZ Interntional Office
International Office;international office
Isis Editorial Office;CB Editorial Office Isis
Isis Editorial Office;BO - Editorial Office 'Isis'
Onderwijsbeleid;Beleid in de praktijk: onderwijs
Onderwijsbeleid;Beleidsondersteuning onderwijs
Onderwijsbeleid;Onderwijsbeleid in de praktijk - vrijdag 27 november
Onderwijsbeleid;SO&O - Beleid in de praktijk
Onderwijscoördinator;GW-Onderwijscoördinatoren
Onderwijscoördinator;OSZ - Onderwijscoördinatoren
Onderwijscoördinator;OSZ/Onderwijscoördinatoren
Onderwijscoördinator;Onderwijscoördinatie
Onderwijscoördinator;Onderwijscoördinator GKG
Onderwijscoördinator;Onderwijscoördinatoren
Onderwijscoördinator;SO&O - Onderwijscoördinatoren
Onderwijscoördinator;SO&O - Onderwijscoördinatoren - optie A
Onderwijscoördinator;SO&O - Onderwijscoördinatoren - optie B
Onderwijscoördinator;SO&O - Onderwijscoördinatoren - optie C
Onderwijscoördinator;SO&O/Onderwijscoördinatie
Onderwijssecretariaat;OSZ - Onderwijssecretariaat: Wel achter de schermen maar voor...
Onderwijssecretariaat;OSZ onderwijssecretariaat
Onderwijssecretariaat;Onderwijssecretariaat GW
Onderwijssecretariaat;Onderwijssecretariaat GW
Onderwijssecretariaat;Onderwijssecretariaat: Wel achter de schermen maar voor
Onderwijssecretariaat;SO&O - Onderwijssecretariaat
Onderwijssecretariaat;SO&O - Onderwijssecretariaat: Wel achter de schermen maar voor...
Onderwijssecretariaat;SO&O - Wel achter de schermen maar voor... (Onderwijssecretariaat)
Onderzoekscoördinatoren;Coördinator OSK (Onderzoekscoördinatoren GW)
Onderzoekscoördinatoren;OSZ - Onderzoekscoördinatoren
Onderzoekscoördinatoren;Onderzoekscoordinatie GW
Onderzoekscoördinatoren;Onderzoekscoördinatoren GW
Onderzoekscoördinatoren;SO&O - Onderzoekcoördinatoren
Onderzoekscoördinatoren;SO&O - Onderzoekscoördinatoren
Onderzoeksbeleid;Beleid in de praktijk: onderzoek
Osiris key-users;Key-user Osiris
Osiris key-users;OSZ - Key Users Osiris
Osiris key-users;Osiris Key-users
Osiris key-users;SO&O - Key Users Osiris
Studieadviseurs;OSZ - De student aan het woord (Studieadviseurs)
Studieadviseurs;OSZ - Studieadvies
Studieadviseurs;SO&O - De student aan het woord (Studieadviseurs)
Studieadviseurs;SO&O - Studieadviseurs
Studieadviseurs;Studieadvies GW
Studieadviseurs;Studieadviseur Maaike Wouda
Studieadviseurs;studieadvies
Studiepunt;OSZ (Studiepunt)
Studiepunt;OSZ - Be the Student (Studiepunt, Examensecretariaat en Ambtelijk Secretariaat)
